"Year","Afghanistan","Albania","Algeria","Andorra","Angola","Antigua and Barbuda","Arab World","Argentina","Armenia","Aruba","Australia","Austria","Azerbaijan","Bahamas, The","Bahrain","Bangladesh","Barbados","Belarus","Belgium","Belize","Benin","Bermuda","Bhutan","Bolivia","Bosnia and Herzegovina","Botswana","Brazil","Brunei Darussalam","Bulgaria","Burkina Faso","Burundi","Cambodia","Cameroon","Canada","Cape Verde","Caribbean small states","Cayman Islands","Central African Republic","Chad","Channel Islands","Chile","China","Colombia","Comoros","Congo, Dem. Rep.","Congo, Rep.","Costa Rica","Cote d'Ivoire","Croatia","Cuba","Cyprus","Czech Republic","Denmark","Djibouti","Dominica","Dominican Republic","East Asia & Pacific (all income levels)","East Asia & Pacific (developing only)","Ecuador","Egypt, Arab Rep.","El Salvador","Equatorial Guinea","Eritrea","Estonia","Ethiopia","Euro area","Europe & Central Asia (all income levels)","Europe & Central Asia (developing only)","European Union","Faeroe Islands","Fiji","Finland","France","French Polynesia","Gabon","Gambia, The","Georgia","Germany","Ghana","Greece","Greenland","Grenada","Guatemala","Guinea","Guinea-Bissau","Guyana","Haiti","Heavily indebted poor countries (HIPC)","High income","High income: nonOECD","High income: OECD","Honduras","Hong Kong SAR, China","Hungary","Iceland","India","Indonesia","Iran, Islamic Rep.","Iraq","Ireland","Isle of Man","Israel","Italy","Jamaica","Japan","Jordan","Kazakhstan","Kenya","Kiribati","Korea, Rep.","Kosovo","Kuwait","Kyrgyz Republic","Lao PDR","Latin America & Caribbean (all income levels)","Latin America & Caribbean (developing only)","Latvia","Least developed countries: UN classification","Lebanon","Lesotho","Liberia","Libya","Liechtenstein","Lithuania","Low & middle income","Low income","Lower middle income","Luxembourg","Macao SAR, China","Macedonia, FYR","Madagascar","Malawi","Malaysia","Maldives","Mali","Malta","Marshall Islands","Mauritania","Mauritius","Mexico","Micronesia, Fed. Sts.","Middle East & North Africa (all income levels)","Middle East & North Africa (developing only)","Middle income","Moldova","Monaco","Mongolia","Montenegro","Morocco","Mozambique","Namibia","Nepal","Netherlands","New Caledonia","New Zealand","Nicaragua","Niger","Nigeria","North America","Norway","OECD members","Oman","Other small states","Pacific island small states","Pakistan","Palau","Panama","Papua New Guinea","Paraguay","Peru","Philippines","Poland","Portugal","Puerto Rico","Qatar","Romania","Russian Federation","Rwanda","Samoa","San Marino","Sao Tome and Principe","Saudi Arabia","Senegal","Serbia","Seychelles","Sierra Leone","Singapore","Slovak Republic","Slovenia","Small states","Solomon Islands","Somalia","South Africa","South Asia","South Sudan","Spain","Sri Lanka","St. Kitts and Nevis","St. Lucia","St. Vincent and the Grenadines","Sub-Saharan Africa (all income levels)","Sub-Saharan Africa (developing only)","Sudan","Suriname","Swaziland","Sweden","Switzerland","Syrian Arab Republic","Tajikistan","Tanzania","Thailand","Timor-Leste","Togo","Tonga","Trinidad and Tobago","Tunisia","Turkey","Turkmenistan","Tuvalu","Uganda","Ukraine","United Arab Emirates","United Kingdom","United States","Upper middle income","Uruguay","Uzbekistan","Vanuatu","Venezuela, RB","Vietnam","Virgin Islands (U.S.)","West Bank and Gaza","World","Yemen, Rep.","Zambia","Zimbabwe"
"1960",61.2891320598364,,241.505258572595,,,,,,,,1808.11265481845,935.460426850415,,1550.33743362372,,86.296732230683,378.514557469337,,1273.69165910289,304.910555068923,93.0225850447254,1902.4021189224,,167.935896212026,,58.0179626201451,208.387302047849,,,68.4247056865246,70.3330736846638,111.388242671422,115.407313441962,2294.56881421577,,444.050901957768,,74.5962912057507,104.43720293537,,550.627298410909,92.0112292293181,252.458364669212,,220.314135299101,129.966783776411,380.434691275383,157.193365087455,,,,,1364.51716017255,,,203.032242401989,149.327539091569,92.6030799135312,223.790955331419,148.020647566975,225.606479695056,,,,,940.790025149392,662.356167174862,,895.646478576273,,285.559793882226,1179.35301099994,1343.08262483232,,283.605562536343,,,,183.057114782475,533.686381232649,,,252.038560259825,,,303.796990978385,,108.38430798597,1233.93253644645,,1436.32999030898,167.629452243957,429.443880900155,,1414.98226940621,,,,230.997858731216,685.61471237976,,1365.6833429564,804.492623346178,429.136322829754,478.995340162869,,,97.6215300259245,,155.21358600619,,,,,368.323331286063,354.10815602713,,,,40.6148682210698,170.037728708201,,,,133.202999734483,93.7364697577149,,2242.0158166161,,,131.993087948722,46.2281587204666,299.108925338668,,,,,107.896417869472,,337.569452187444,,,,139.970529152701,,,,,164.801114010264,,,53.256964213887,1068.78458723735,,2312.94999239859,128.043869763412,134.704189218371,92.8118686401026,2827.99634040442,1441.75566002633,1335.16465409818,80.1734414193903,,,81.4011304698956,,365.992159071905,117.184073150924,,252.097262529666,254.444045232618,,360.499298506858,717.514748091603,,,,40.5669358261881,,,,,249.493492692099,,288.058159419365,149.070801503583,394.648935653679,,,,,65.4702727317441,423.272043874977,,,396.392253337614,143.454924152361,241.55000458777,,161.420094697011,130.330647247165,130.484832544971,107.444022866352,323.467878967522,100.439802605347,1983.10654403097,1787.36034770201,186.750721951732,,,100.896120243148,,76.6384536906492,,631.332020785267,,507.92952909197,,,62.3353765709122,,,1380.30624126257,2881.09979779821,175.448533520572,489.99663868105,,,1135.52519605188,,756.25,,444.408170902075,,226.670213679309,280.618588034008
"1961",61.3040930583217,,210.60812897833,,,,,,,,1874.30476770293,1031.8150043291,,1651.45929519612,,94.5485569834109,402.490651429279,,1350.19767333123,316.417307018971,95.5669219953472,1961.5381692465,,178.667055731481,,61.3022879392507,203.19047502829,,,71.5582088992003,71.4694335501474,109.518625207328,120.119871391829,2231.2938237478,,471.465343453014,,80.5206961826424,109.09153568896,,599.736149987355,75.8725711623722,276.118335284317,,197.391174886989,145.847946772998,354.913434580145,171.635969542005,,,,,1503.53701342816,,,190.994766843947,147.891009512911,79.6785620637031,210.802120700643,150.561835526915,222.5503251472,,,,,1026.2226825075,696.955000118918,,966.794104964536,,287.347177094076,1327.427224366,1445.15191436837,,332.772038273659,,,,189.665924912065,597.287321012322,,,253.144713584611,,,322.668883597483,,108.65094153243,1287.18270616496,,1497.42536933639,172.153391474976,483.17756109967,,1418.12586971526,,,,245.002419869506,739.276406442666,,1595.86016522981,887.336744604475,452.834028101378,563.586759838827,,,94.8352529497027,,91.6236060052763,,,,,380.187978279334,361.482160949642,,,,41.2119620183546,160.64423668176,,,,123.121999230321,94.7996172058111,,2222.36636636277,,,133.846223393618,48.3952327126829,287.41469794788,,,,,121.949657580554,,354.386897775116,,,,128.348552137176,,,,,159.212703596619,,,54.7838673220351,1159.39235716074,,2343.29221317425,133.389992401978,141.657215774598,96.8115642989981,2870.72585776467,1560.3249311723,1381.39381380708,80.7840276010796,,,86.8713096875897,,396.155854896074,122.351905113472,,276.24939469937,267.163529929054,,382.729946994368,777.215116953567,,,,40.7197296350478,,,,,256.142762472198,,270.279912709419,149.761883029801,437.943221169741,,,,,68.0932775941161,431.353938962324,,,450.053289246968,143.031287479587,243.838303707829,,170.431983018501,132.126196569488,132.28076118823,113.646791138205,329.746557600088,120.344965643572,2147.22931080409,1971.31632279228,199.309614615734,,,107.608067448362,,79.1200333739825,,675.981444755319,202.497144885177,284.012775978963,,,63.0355968634404,,,1452.54470901356,2934.55277761023,156.843723255648,602.536383028365,,,1133.46502490528,,753.66568914956,,455.049621774303,,215.007057250915,282.886000781419
"1962",59.798693323222,,168.971971698248,,,,,1148.16961298053,,,1850.06945397397,1087.8342434189,,1752.95311640643,,96.9675358593636,416.963091816071,,1438.5232330684,327.116645616226,94.451874340216,2020.38596503345,,191.053055855974,,64.7911581131172,257.823301350306,,,76.520610972212,73.7603277929598,109.556643741267,125.027285904407,2255.23004413036,,488.027360007098,,79.9680688318881,114.540302077825,,683.769285762609,69.7898732700808,292.506077674486,,235.632641873332,155.978789615233,334.837010176923,172.512754204677,,,,,1681.0299129876,,,232.775625021361,148.444461343265,71.2056001053727,200.562056672637,135.290178883119,239.295128625199,35.3677276832669,,,,1128.30817525985,753.046487742585,,1046.80862146823,,291.555831464401,1411.70239818044,1590.19648698593,,358.883389380469,,,,195.113544843913,630.61394129381,,,261.744095480291,,,329.49305777375,,115.642947303941,1373.02841756197,,1597.78624008296,181.258678912943,521.859759803401,,1562.23073045837,,,,254.670767369775,797.006288353959,,1132.38286625891,990.26015216342,463.355886255358,633.640315173776,,,100.604255121538,,103.867274948874,,5454.22260045978,,,425.30399452147,404.916302298563,,,,47.4651418770063,163.947037727288,,,,124.62385413925,100.452347337108,,2311.79884893619,,,138.115436698219,49.576613730995,292.033620194037,,,,,122.233986651674,,369.135277097581,,,,129.337384891511,,,,,181.952894632587,,,58.0959031412868,1240.67789437294,,2448.62863326468,142.742238387422,150.813163609946,104.19401749536,3030.3395435028,1667.2474297782,1472.35271777884,97.2197108582636,,,88.4394361248465,,418.533220243144,128.209627385265,,304.231546295139,156.688621078208,,407.852843612372,852.500223644113,,,,40.9756020807082,,,,,255.446267754403,,287.043224231378,154.414027656762,429.537744688755,,,272.42763048442,,70.7954905244462,448.001607208104,,,520.206131380005,139.673429067613,246.078466919975,,174.566299227964,139.924264628414,140.086006257303,120.194065643331,337.559072837747,125.582812069275,2315.84652740222,2131.39165159983,226.765122928477,,,113.87011802336,,81.9946130163992,,703.760745415509,202.267512966111,308.510822066164,,,62.0371134700839,,,1513.65144854926,3107.93741663361,161.44974086987,656.372408990356,,,1208.15086083873,,1016.52892561983,,479.994982389593,,207.784751625061,278.963759938396
"1963",80.4230020659073,,222.719296396266,,,,,844.725024008369,,,1962.92313128787,1167.00053244585,,1867.12401935202,,98.674346723199,467.125124908006,,1535.02372901043,336.941583050473,99.8404446955568,2020.26524752445,,201.167870303339,,67.4807028503732,289.058327514254,,,78.3721024896116,78.8741609195558,117.915630192912,126.526883991669,2354.83912197975,,510.362185129066,,81.5878290874955,116.732580063697,,664.414699299375,73.6887660300494,276.541381969127,,377.427908681983,157.080216378336,345.438977723797,195.649045070894,,,,,1775.37038468789,,,257.171125976693,161.680897196153,75.2129920486729,211.08809973201,136.812593710674,244.901876773804,41.5345234998498,,,,1253.92403686857,820.717529245221,,1142.92862108376,,296.78864559009,1522.3192420995,1756.80406216629,,299.5184685206,,,,211.000633872028,701.62041775285,,,281.358192730362,,,289.300067809046,,136.725369859729,1459.5039370735,,1699.24490185897,185.514828523154,577.346707834485,,1831.70565581972,,,,250.756871765486,852.135301717888,,1257.74316161901,1126.01933699825,484.298400982148,717.866915230894,,,104.0127020531,,142.362652680911,,4980.42972119161,,,415.004802347801,394.407648649655,,,,52.3631102662722,167.333799102114,,,,129.178602655428,116.863662429038,,2441.03855530008,,,138.400253652842,50.4312774020705,300.966838603564,,,,,121.559671349713,,397.902512624129,,,,132.59758897561,,,,,197.863375567029,,,49.3951377025911,1328.03664879968,,2622.2202714036,152.975847470579,161.6819257455,107.329217146391,3152.03544454447,1775.58265544979,1565.58862402502,100.947523994376,,,92.4575076677358,,450.172853492279,132.956342138959,,323.787379447171,168.021373420453,,432.511729575075,929.116512737561,,,,41.2508282805366,,,,,256.881647072569,,308.198539042406,154.802208958508,472.18303179988,,,281.006498091896,,73.5855155489625,484.525830782456,,,609.487384056513,117.311256247727,253.958820545963,,162.87023274521,156.761285994027,156.938697531447,119.007168648868,349.336102615892,144.734661448718,2492.54534595494,2294.18284731738,237.344593345421,,,118.205765876112,,87.7920467009908,,759.87154935004,231.422177933143,349.760769193056,,,68.9578255974576,,,1592.61447661562,3232.20800930026,164.901637604999,583.984816041089,,,1257.84657991696,,1069.76744186047,,505.039631619193,,209.067341101856,280.02105499589
"1964",83.7948118142624,,233.810109937585,,,,,1165.78516387942,,,2127.26602949511,1269.41258289256,,1994.54029446663,,97.0405528222099,462.23125806201,,1701.84627554319,351.165332311984,104.323758979485,2199.72700691179,,221.607652738806,,71.7859870855051,258.627944474235,,,80.4727076055827,86.5716238047223,123.730816955539,133.730545322792,2529.5181790541,,539.637617113921,,87.8588066127207,120.773372487536,,685.307486682024,83.9304352839254,332.483899761603,,170.466309408443,164.830618902643,353.97241077324,227.441294942656,,,,,2013.24307693268,,,271.458446683659,181.12642262747,84.4432882758833,228.323838272214,153.054248004973,261.510293606091,48.0181583108462,,,,1381.96811041836,898.546691217425,,1255.57987963901,,310.888073144811,1707.50393824701,1922.69759816874,,412.203776512353,,,,230.461707582616,784.954348432918,,,281.770218983042,,,312.241718367822,,118.769736417569,1575.02071249961,,1833.85203030245,200.195902861619,649.064257473472,,2297.9206432038,,,,288.128727066619,965.135422676745,,1375.94282907301,1222.5445404629,517.620469229782,835.657252484116,,,108.558932448479,,120.636049999067,,4802.3421664816,,,449.213188197378,427.208441512931,,,,56.7356757051101,178.849905317729,,,,138.515318578773,98.4352790385937,,2755.63311653279,,,142.653329747513,50.2266324503596,312.222826025156,,,,,157.591745758149,,456.851720059801,,,,145.289068297884,,,,,203.021765480054,,,48.4101100538013,1541.94736519029,,2813.54697563939,173.365443052184,156.254730948211,112.933727012717,3341.34670379351,1937.88461385928,1689.28565131497,101.615438010543,,,101.784914325824,,469.15471719919,144.23071264321,,380.597116636792,175.935447731375,,468.781081635443,1006.39535022123,,,,41.116871869385,,,,,264.691077424746,,332.307872660815,162.712122068929,464.377305353918,,,302.761432084578,,76.4550216966596,519.409702225933,,,675.241639141208,121.236423557775,268.687326187777,,173.471910297222,149.044240619548,149.201553227254,118.94611908296,373.653487020295,169.850585202267,2758.94346624034,2501.29318996377,256.383201283241,,,125.980068538729,,99.9379559912084,,788.13196772001,226.418919703823,368.82991171571,,,76.0694176380255,,,1729.39997803568,3423.39628164199,181.305026020307,740.748812747917,,,1037.31615462391,,1302.66343825666,,541.108504833184,,236.877875352611,284.407332426458
"1965",103.089103111692,,245.576991361758,,,,,1271.41556636899,,,2277.0666755098,1374.53213986075,,2144.90758577304,,103.262133033953,487.403185364219,,1835.59476553194,377.587202718467,110.132611159285,2282.21654616239,,242.298893066017,,76.8390054321075,258.238896078756,1112.4141173602,,81.7251198708372,51.6379367564512,134.349816383797,135.969395995243,2739.58584928189,,571.14214401921,,91.3222074332952,125.924569919388,,699.530945406166,97.4700979794469,311.987391024481,,232.811430659145,171.273173413048,374.574819577061,217.968748328229,,,,,2243.93159483536,,,227.746905247437,197.521667181138,96.7801363662865,457.924066224367,159.320164695707,,240.31865155806,,,,1494.61293936656,967.170821275189,,1356.07281552325,,317.072263823461,1882.08685764849,2045.4421464816,1889.28285106366,425.782778349936,,,,266.383987011763,888.921997905322,,,281.12561230973,,,332.898734252074,,135.54022686106,1689.85063969995,,1969.02397402922,216.204199797929,676.805507110096,,2723.52094989073,,,245.957600190049,305.517033955874,1023.77372640936,,1429.31939056932,1304.45381661965,552.3633927303,919.776688184802,531.701914978809,,104.992173344736,,105.769869136526,,4348.80688729891,,,472.264681908806,450.472952090486,,,,58.8051639590643,182.974166938022,,,,151.202666800172,111.354855103791,,2780.09271886584,,,144.484630080363,57.740939442197,333.116324676548,,,,,174.077318537662,,481.479490942387,,,,158.156898891972,,,,,208.461829200778,,,70.4013663310645,1708.09635648862,1734.7227559653,2151.29492695315,273.537867650463,175.526078954059,116.930527910125,3579.41396000456,2164.46882336736,1811.03312493331,101.246821377722,,,113.721559289678,,500.204305289097,159.251844820348,183.714022013767,438.270065454538,187.117827515312,,520.910659367884,1111.02539398612,,,,46.0262540435523,,,,,261.911572496908,,328.484900960844,154.847843447577,516.262206788845,,,323.695925210935,,79.4009757175451,554.790002751256,,,774.761609330096,152.124626274731,276.237679135671,,175.735069106379,162.090981881147,162.036315739645,120.547655550814,417.22462121782,179.441738645411,3007.59797817136,2620.475547353,272.683538480924,,,137.946168455467,,109.620041171965,,807.275130631677,214.049161781343,385.343800603175,,,110.364467383365,,,1850.95476855498,3664.8018703983,197.648020550168,701.070716586773,,,1055.76264891092,,1511.36363636364,,578.376199672067,,296.3658516541,296.562091417792
"1966",140.138383240116,,231.645176638319,,,,,1265.77734467379,,,2338.61231960668,1486.96860600566,,2322.97563853017,,109.092098725925,523.904883806125,,1957.62608042762,406.109123814586,112.973547067691,2630.85046632946,,258.990138213075,,83.9436898387644,312.063323244665,1235.65148362339,,82.545624624061,52.4574885176544,138.804190619968,139.173080418691,3010.70590757947,,609.684082209238,,93.8454206170209,128.29015573674,,792.695860222646,103.181171509812,285.351125771057,,253.761934385804,185.323533774376,396.511872218209,232.747798509101,,,,,2443.2597913502,,,244.616651732927,215.215641426789,103.041512975965,452.675872414316,162.112824785327,,250.880313645769,,,,1616.55886339728,1040.90477097611,,1458.84312062923,,316.176267906957,2010.21345619725,2193.06134001466,2229.49917313452,453.685274298341,108.314644983926,,,269.523339847158,981.652394470053,,,285.887853107054,,,347.590525381532,,144.174280688745,1835.02957265835,,2138.37717927337,227.230100891071,685.926614135084,,3215.69417804329,,,260.97183186151,320.425202987112,1074.50650554958,,1513.88867435655,1402.44235441032,615.077260014266,1058.50356090902,548.200814870099,,118.556282047262,,130.264840119685,,4480.98027165379,,,504.505836537383,480.714216022345,,,,59.5753206169453,190.49223878364,,,,161.202553236134,119.501412787683,,2900.43321843978,,,152.121570725943,63.9210758164431,344.64929986212,,,,,176.463399997308,,520.209295978757,,,,168.538044093852,,,,,198.219140751497,,,85.1509233062004,1835.80142351034,1740.6561393495,2191.31254193959,285.609051616996,177.994658299617,124.021077454839,3882.84502360362,2317.19488382656,1965.63555716022,105.544302790187,,,121.69392322641,,529.157770707622,177.037454943963,188.49558678811,504.081508973695,199.940135286111,,575.007680668221,1207.54504084427,,,,37.5181722832531,,,,,262.341581509522,,337.648187903494,159.221384646529,566.650964573456,,,343.215538071467,,81.8562107025912,591.811915688121,,,889.659872011529,153.113959982105,299.226104692493,,185.35527901798,170.743077387371,170.688495730561,120.215894052872,500.665701034397,191.529845342594,3240.61103693285,2784.73354771646,240.584239965037,,,161.028372496669,,121.833539266957,,786.757574542507,220.009603288345,445.14209050995,,,111.589208742989,,,1959.62782962126,3972.12308994709,211.346474684507,664.245029350896,,,1073.3502876974,,1778.01268498943,,621.042718579097,,335.553159169474,280.573672153914
"1967",163.700788626879,,249.757435617607,,,,,1057.32806804985,,,2574.38613367781,1569.66718289967,,2556.86885744326,,118.976239956472,579.803142396861,,2086.63600544654,420.405760359397,112.027640265387,2982.74970426108,,275.985382225934,,92.8770525685453,343.526386268571,1233.9615299272,,84.36313619086,55.1129068759763,143.85239115651,148.721092101472,3173.07619352225,,645.888487243935,,95.3244020285758,130.907045111836,,765.093009638957,95.4966882458867,291.167023345441,,184.134756684858,193.922520281974,416.03590339764,235.867259760777,,,,,2644.7866468916,,,249.583705570338,227.737252485639,97.3909078363332,462.195193753147,165.069919424566,,256.041717766068,,,,1743.93131863622,1109.89880669358,,1556.32658737033,,333.310554309052,2034.18904965478,2350.34402891984,2209.15885204737,490.950392659683,112.155412536056,,,216.879703725644,1052.12099276566,,,290.921164669382,,,370.187025027669,,137.526208376511,1949.04905300298,,2271.19892883057,240.559413873212,723.239225616661,,3125.64949185014,,56.6336536654737,281.329883598404,312.414315829248,1152.00495214994,,1428.44641089179,1533.69287748547,636.409965368405,1228.9092104006,494.111265290876,,121.380751499775,,157.290253867348,,4166.77860066299,,,503.456379915941,479.887578282323,,,,61.0336614432901,198.479593101461,,,,159.891983357226,117.885996266967,,2909.66062936858,,,157.508959836341,64.5895066410499,347.693705695721,,50.1030411675389,,,181.707569463766,,550.225823992703,,,,167.259016469134,,,,,204.65166533278,,,77.4984661250202,1991.36068565042,1855.43706069142,2188.39913862561,299.9655869682,164.025807223987,99.1666736349225,4060.57278230645,2514.04377214705,2085.63194269235,162.322492551044,,,135.646702327857,,572.29772631919,195.542785698963,196.478597395774,496.934570190873,207.427004642548,,646.82272006084,1341.81333933256,,,,46.6780011308385,,,,,254.88335337018,,333.235681911575,145.478552051986,625.589067867657,,,361.78050458718,173.394086386091,84.2148300645049,646.275571609982,,,968.306781765983,158.887893751699,353.340619784939,,180.485643317018,164.407765286234,164.33794066002,126.483988826818,564.63980561254,181.686433116511,3490.55033678895,2960.72258588384,273.98973919734,,,166.946415759631,,124.879174545796,,822.947011808029,224.649604552848,482.756360314777,,,112.723514505075,,,2023.62756371118,4152.01983719151,208.960636008589,581.087698056401,,,1077.45159865308,,2271.65354330709,,646.904595940088,,352.033075398788,296.062249493065
"1968",131.221435925562,,277.391418609577,,,,278.094819140554,1136.12592453378,,,2719.05676148496,1677.67352804272,,2804.66982143087,,118.960062913947,579.332227834108,,2222.36151051913,386.95324695472,117.022462835667,2830.18867924528,,226.042366022461,,101.789896047602,370.724583330701,1360.96073789662,,84.7330328292247,55.2253855904549,156.871249998949,163.593491974299,3411.06015434457,,633.653354875155,,109.253011897717,129.679810081522,,767.324172888991,90.3713307770758,292.487438275426,,206.722568364572,199.498693825911,447.530990798049,267.245441577186,,,,,2712.61240033933,,,252.653619647559,245.074949573487,95.8346188702846,453.999113548006,176.256256601627,,233.854582629444,,,,1857.57422992358,1147.73393689921,,1606.89090222603,,334.650806966317,1907.07727217667,2537.31346252268,2510.90657535427,521.109514642827,96.7313636954851,,,202.781440493909,1134.35615147538,,,313.84181125216,,,331.505185044102,,140.155746057396,2091.66892095979,,2437.61149044235,253.428420970143,714.48296958061,456.781517945348,2354.48002671305,,68.9097923536999,311.579538330459,342.667994248341,1124.51663608246,,1412.47027889702,1651.93937679756,594.305953534485,1450.61965234374,412.916460290839,,128.85766931067,,194.779560805808,,4164.99641108739,,,528.961160545327,505.274661052612,,,,62.0122089258905,205.288340373526,,,,165.179170092545,119.592788505495,,3175.36736882691,,,165.525209692551,57.1944714163235,353.436123228323,,61.7665030779655,,,194.431746462773,,589.777927147651,,288.454649000786,,173.055910102397,,,,,214.359477409228,,,69.6442393033152,2185.24865888658,2151.11359133452,1885.15615175625,306.857224357287,153.656749864603,96.9582914239069,4389.84952034836,2662.11749153117,2235.95374556242,277.930823870136,,,144.273053985223,,598.064863723971,209.752470281507,202.114696737126,447.52173342921,224.624171987317,,719.08049185329,1497.6724706844,,,,48.8197689119033,,,,780.995969426649,260.145607838521,,314.351556649437,135.226820299205,708.260498167471,,,356.715508399004,187.320763298393,86.5932576378952,684.323738901473,,,950.545740593734,150.198171329906,314.661953921421,,173.221237939401,171.49771109079,171.464523947064,128.234614465756,611.846411573494,188.980330199288,3683.31369387653,3121.8890308772,294.092477241353,,,174.813429051476,,124.34951149403,,814.737164856259,246.22630483995,527.167358977987,,,116.915603154216,,,1896.38674860735,4491.42430452503,214.63774771651,574.317296829295,,,1142.49262419966,,3183.15018315018,,683.778674170036,,400.518603870802,303.563153344827
"1969",131.313621224771,,297.984545933691,,,,298.319519731033,1323.70790453585,,,2985.76225301146,1825.38612552124,,3215.44776956112,,130.887076469777,649.612924941097,,2458.08182003773,396.657642438385,116.188506373991,3053.7037037037,,234.291925163248,,115.221461796431,399.732500717329,1301.50801025566,,86.5202176682609,56.0591138522018,141.854897777959,174.596174325829,3703.99040525529,,681.626437281226,,104.923812111886,132.119070959244,,870.123169030606,98.8898852999289,308.023901595637,,258.619022397788,204.457925874844,480.627069545341,271.676434923076,,,,,3068.23674114413,,,279.848171958007,275.003731319471,104.748771975262,531.600221903932,193.231035282189,,230.214011265605,,,,2038.74465989029,1249.80276048723,,1753.8855651081,,357.458747326287,2178.03525044982,2731.54044151974,2273.51978197514,551.112448784734,103.644039112961,,,233.611736559406,1284.21231559082,,,325.425645909414,,,351.941679042741,,152.304784376408,2270.64779969241,,2644.85757465592,254.960481890555,825.523449142012,505.483407162875,2039.19629517262,,79.1359047907073,340.467838535151,344.725912747019,1291.34992028637,,1587.76957862316,1813.38812575706,645.680693301452,1669.09819990781,486.509952719044,,134.193723980301,,239.231463980116,,3989.80328840128,,,577.767822983572,549.762987797433,,,,65.2303488543527,221.904658770119,,,,180.578806579631,130.35739801354,,3658.90068296888,,,165.04939414218,60.3632390231612,380.698394174051,,60.2905760852559,,,178.918588136685,,633.084476723092,,312.556978623809,,189.246653626643,,,,,233.598736759115,,,69.6674030253844,2446.33545399539,2533.79077943648,2077.89554302301,322.22834342109,145.846457104539,120.931166958165,4698.97336502982,2875.23584396858,2423.00294756928,342.500167295146,,,149.836961476406,,637.708727516788,232.441101156634,211.65412631273,487.164130688247,241.702302750818,,795.759371391099,1661.86669718657,,,,51.8322539688474,,,,805.177522183966,240.258250332039,,314.179132841616,164.532230613178,812.062883431435,,,382.504425603164,184.705257096264,88.6833992794143,754.913898741415,,,1077.67869994591,160.426560438083,348.091535995081,,185.996112513684,191.675969439578,191.676636031696,137.124226381509,634.768280347607,243.06610624678,3972.00274870609,3344.78360254639,364.040209807211,,,186.912473101253,,131.569752082335,,830.840031305779,256.380563373043,573.068135063485,,,127.532788228058,,,2032.34700964503,4802.6424850575,233.916115374992,717.060049210916,,,1149.80561887699,,3605.80204778157,,737.038951433941,,474.882125012293,347.078860699472
